problem_id,n_solutions,n_correct,pass_rate,selected_sample_id,selected_score,selected_correct
livecodebench_v5-24,64,63,0.984,1564,0.8798,True
livecodebench_v5-25,64,58,0.906,1659,0.9578,True
livecodebench_v5-26,64,29,0.453,1664,0.8197,True
livecodebench_v5-27,64,60,0.938,1783,0.9356,True
livecodebench_v5-28,64,36,0.562,1792,0.9099,True
livecodebench_v5-29,64,64,1.0,1916,0.92,True
livecodebench_v5-3,64,55,0.859,215,0.9467,True
livecodebench_v5-30,64,26,0.406,1923,0.8778,True
livecodebench_v5-32,64,64,1.0,2060,0.8929,True
livecodebench_v5-33,64,61,0.953,2132,0.8873,True
livecodebench_v5-34,64,62,0.969,2191,0.9228,True
livecodebench_v5-35,64,7,0.109,2289,0.7864,True
livecodebench_v5-37,64,61,0.953,2368,0.8978,True
livecodebench_v5-38,64,64,1.0,2475,0.9143,True
livecodebench_v5-39,64,62,0.969,2542,0.8818,True
livecodebench_v5-4,64,59,0.922,285,0.8865,True
livecodebench_v5-40,64,59,0.922,2587,0.7718,True
livecodebench_v5-41,64,30,0.469,2638,0.8495,True
livecodebench_v5-42,64,63,0.984,2696,0.892,True
livecodebench_v5-43,64,1,0.016,2809,0.7445,False
livecodebench_v5-44,64,30,0.469,2873,0.8253,True
livecodebench_v5-45,64,59,0.922,2926,0.9206,True
livecodebench_v5-47,64,64,1.0,3050,0.8927,True
livecodebench_v5-48,64,21,0.328,3102,0.805,True
livecodebench_v5-49,64,50,0.781,3165,0.8949,True
livecodebench_v5-5,64,58,0.906,367,0.958,True
livecodebench_v5-50,64,64,1.0,3202,0.898,True
livecodebench_v5-51,64,20,0.312,3324,0.6907,True
livecodebench_v5-52,64,62,0.969,3372,0.9277,True
livecodebench_v5-53,64,64,1.0,3415,0.9636,True
livecodebench_v5-54,64,19,0.297,3507,0.7448,True
livecodebench_v5-55,64,1,0.016,3569,0.6084,True
livecodebench_v5-56,64,5,0.078,3641,0.5788,True
livecodebench_v5-57,64,4,0.062,3658,0.7475,True
livecodebench_v5-58,64,1,0.016,3737,0.6654,False
livecodebench_v5-59,64,56,0.875,3832,0.8459,True
livecodebench_v5-6,64,57,0.891,406,0.8792,True
livecodebench_v5-61,64,18,0.281,3942,0.8409,True
livecodebench_v5-62,64,64,1.0,3976,0.8796,True
livecodebench_v5-63,64,64,1.0,4094,0.9321,True
livecodebench_v5-64,64,64,1.0,4098,0.9064,True
livecodebench_v5-66,64,4,0.062,4284,0.6843,True
livecodebench_v5-67,64,31,0.484,4333,0.8579,True
livecodebench_v5-69,64,64,1.0,4457,0.9143,True
livecodebench_v5-7,64,64,1.0,509,0.9121,True
livecodebench_v5-71,64,5,0.078,4603,0.819,True
livecodebench_v5-72,64,64,1.0,4637,0.91,True
livecodebench_v5-73,64,49,0.766,4692,0.8791,True
livecodebench_v5-75,64,3,0.047,4827,0.7688,True
livecodebench_v5-76,64,64,1.0,4910,0.869,True
livecodebench_v5-77,64,60,0.938,4944,0.9361,True
livecodebench_v5-78,64,47,0.734,5022,0.7696,True
livecodebench_v5-79,64,62,0.969,5081,0.8388,True
livecodebench_v5-8,64,38,0.594,560,0.9014,True
livecodebench_v5-80,64,29,0.453,5156,0.8413,True
livecodebench_v5-83,64,64,1.0,5326,0.9151,True
livecodebench_v5-84,64,64,1.0,5433,0.9171,True
livecodebench_v5-85,64,63,0.984,5482,0.9005,True
livecodebench_v5-86,64,64,1.0,5561,0.9194,True
livecodebench_v5-87,64,35,0.547,5579,0.8637,True
livecodebench_v5-88,64,32,0.5,5652,0.8423,True
livecodebench_v5-89,64,48,0.75,5731,0.8769,True
livecodebench_v5-9,64,12,0.188,591,0.7695,True
livecodebench_v5-90,64,64,1.0,5788,0.9702,True
livecodebench_v5-91,64,64,1.0,5847,0.9105,True
livecodebench_v5-92,64,64,1.0,5940,0.8687,True
livecodebench_v5-93,64,63,0.984,5969,0.9254,True
livecodebench_v5-94,64,48,0.75,6079,0.9232,True
livecodebench_v5-95,64,9,0.141,6139,0.7623,True
livecodebench_v5-97,64,64,1.0,6225,0.9303,True
livecodebench_v5-98,64,64,1.0,6319,0.9086,True
livecodebench_v5-99,64,37,0.578,6378,0.8682,True
